doctor_id,doctor_name,gender,specialization,department,experience_years,phone,email,salary,joining_date,rating
1,Joe Lynch,Male,Cardiology,Dermatology,8,(156)996-5578x471,patriciahorn@peters.com,108513,2026-03-19,3.7
2,Nicole Clark,Male,Neurology,ENT,2,432-029-9768,davidbullock@williams.com,57811,2017-10-20,3.6
3,Paul Diaz,Male,Cardiology,Pediatrics,23,(205)031-7309x41384,whitneymartin@gmail.com,220363,2019-04-30,4.6
4,Michael Davidson,Female,Pediatrics,Gynecology,19,001-957-724-4512x122,jeremygomez@hotmail.com,122926,2023-10-03,4.7
5,Ronald Walker,Male,Orthopedics,ENT,11,919-310-7351,pamela39@matthews.com,122842,2021-09-24,3.7
6,Kevin Higgins,Female,Neurology,Neurology,13,137.216.0394,guerrerocolleen@day.com,75353,2020-03-25,4.0
7,Ryan Garcia,Female,Dermatology,Cardiology,24,4376274852,lpowell@yahoo.com,170435,2021-02-25,4.3
8,Alex Sutton,Female,Neurology,Dermatology,21,(454)707-0181x3944,brendaparsons@hotmail.com,212141,2020-06-30,4.8
9,Gregory Lopez,Female,Pediatrics,Neurology,2,8109380124,robertshenry@cook-weaver.org,223346,2020-08-01,3.8
10,Mackenzie Watson,Female,Neurology,Pediatrics,4,+1-178-098-4386,ericahahn@gmail.com,149647,2016-12-16,3.9
11,Darrell Stein,Female,Orthopedics,Oncology,12,0121034203,carolyn52@atkins.info,104921,2020-08-09,4.5
12,Jeanne Hudson,Male,Orthopedics,Pediatrics,6,415-492-7729x96371,marthasampson@hotmail.com,171178,2023-02-06,4.1
13,Ruth Morris,Male,Oncology,Cardiology,8,6580368106,qnewton@hall-suarez.com,58414,2020-12-21,4.7
14,Joan Sutton,Female,Dermatology,Neurology,7,385-370-0820x90837,stephenssarah@chandler.com,198682,2017-07-22,4.8
15,Vincent Carson,Female,Pediatrics,Gynecology,13,001-894-998-6616x2030,peggy09@yahoo.com,218519,2017-11-04,4.2
16,Joseph Morris,Female,Orthopedics,Pediatrics,24,(621)632-6204,mirandashort@watson.com,197159,2021-10-21,4.3
17,William Gonzales MD,Female,ENT,Oncology,8,001-635-870-2792x5866,castroandrew@yahoo.com,86262,2024-11-21,4.3
18,Nathaniel Hughes,Male,Cardiology,Neurology,5,(345)773-4020x1734,david71@hotmail.com,214481,2024-05-09,3.7
19,Alicia Burnett,Female,Neurology,ENT,13,178.904.4423,matthewwilliams@mitchell-patel.com,206208,2025-09-14,5.0
20,Daniel Smith,Female,Cardiology,Neurology,22,4239744787,samantha86@todd.biz,190763,2021-01-09,4.6
21,Shari Wilkerson MD,Female,Neurology,Dermatology,14,751.715.1857x9694,cassie39@serrano.com,91460,2021-07-26,4.2
22,Derrick Wilson,Female,Orthopedics,Neurology,21,323-784-4399,jimmy45@alexander.com,128235,2021-11-29,4.8
23,Laura Crawford,Male,Orthopedics,Oncology,25,208-790-9066x844,eruiz@lozano.com,92349,2021-03-06,4.3
24,Rachel Salinas,Male,Oncology,Gynecology,1,3629683125,natasha91@hart.org,79325,2024-07-16,4.9
25,Dillon Peterson,Female,Pediatrics,Cardiology,8,(300)050-5639,monicamorris@gmail.com,198729,2025-03-09,4.9
26,Eric Stevenson,Male,Gynecology,Neurology,25,(910)663-4077x170,stevenking@perez.com,189645,2017-10-06,4.6
27,Dominic Richardson,Male,Gynecology,Orthopedics,9,(583)376-8150,josephwilliam@gmail.com,188326,2017-12-18,4.8
28,Megan Craig,Female,Pediatrics,Pediatrics,23,+1-770-219-9725x3835,jennifer74@gmail.com,131714,2018-07-29,4.1
29,Michael Murphy,Female,Gynecology,Gynecology,4,(875)126-6729x94153,prush@gmail.com,114986,2020-05-29,3.8
30,Brooke Williams,Female,Cardiology,Pediatrics,19,001-970-499-2130x56541,leedebra@banks-bryant.com,107728,2017-08-22,3.5
31,Michael Fischer,Male,Pediatrics,Neurology,2,8906283797,anne19@yahoo.com,136619,2025-07-25,3.6
32,Kristi Cole,Male,Dermatology,Gynecology,7,+1-177-341-4466x124,timothymartin@gmail.com,191356,2017-11-03,3.7
33,Dr. Robert Hughes,Female,Pediatrics,Gynecology,14,001-866-392-0004,orobinson@hotmail.com,99914,2020-04-30,3.6
34,Monica Nichols,Female,Oncology,ENT,14,6140713801,opowers@martin.com,172427,2023-09-07,4.8
35,Vincent Alvarez,Male,Neurology,Cardiology,13,(070)692-1449x38957,ipatton@yahoo.com,240896,2020-02-15,4.0
36,Patrick Pearson,Male,Pediatrics,Pediatrics,7,001-066-592-3699x547,amanda63@yahoo.com,190584,2017-06-22,4.2
37,Linda Davis,Female,Orthopedics,Dermatology,15,630-688-4964x4443,angel22@wilson.biz,115485,2026-03-23,4.8
38,Deanna David,Male,Gynecology,Neurology,2,+1-329-339-6275,jared24@gmail.com,220955,2021-10-19,5.0
39,Phillip Santana,Male,Neurology,Pediatrics,6,(282)464-5701,mezasheila@lamb-murphy.com,156539,2018-04-17,4.2
40,Hannah Jones,Male,ENT,Cardiology,6,869.571.1319x55095,scottkatherine@griffin-ramsey.biz,149345,2017-10-20,3.5
41,Jennifer Rodriguez,Female,Dermatology,Gynecology,10,(585)403-3173,christopherwebb@gmail.com,160888,2025-12-27,4.5
42,Juan Davenport,Female,Orthopedics,Pediatrics,10,192.342.9457,toddlarson@anthony.com,107068,2026-01-30,5.0
43,Wanda Carpenter,Male,Oncology,Cardiology,2,001-993-077-3336x462,casecameron@gmail.com,203138,2019-09-02,4.2
44,Cheryl Harper,Male,Cardiology,Neurology,6,001-656-066-5929x463,shawlinda@davidson-werner.com,67962,2022-01-31,4.4
45,Jean Boyd,Male,ENT,Neurology,19,(292)913-7816,robinsonsamuel@hotmail.com,114543,2022-01-15,4.4
46,Carlos Nguyen,Male,Neurology,ENT,22,715.681.7837,psummers@yahoo.com,203006,2016-09-22,4.3
47,Linda Porter,Female,Dermatology,Pediatrics,22,(939)339-1178x5883,pmiller@johnson.com,237745,2018-04-23,4.0
48,Rachel Hunt,Female,ENT,Orthopedics,22,072-537-3445x61756,bhardy@gmail.com,219214,2017-06-24,3.9
49,Brett Martinez,Female,Neurology,Cardiology,15,940.594.3842,samantha95@gmail.com,212833,2023-04-27,5.0
